Compound_name,CAS_number,Canonical_SMILES,n_original_records,ODT_min_mg_L,ODT_max_mg_L,log10_ODT_SD,ODT_geometric_mean_mg_L,Final_pT,Structure_type,Chemical_class
Phenol,108-95-2,C1=CC=C(C=C1)O,10,1,58.59,0.485516940194224,7.31,2.13608262304214,Cyclic,BenzeneDerivatives
3-Phenoxybenzyl chloride,53874-66-1,C1=CC=C(C=C1)OC2=CC=CC(=C2)CCl,1,0.03,0.03,NA,0.03,4.52287874528034,Cyclic,Polycyclic
Phenoxypyrazine,107697-82-5,C1=CC=C(C=C1)OC2=NC=CN=C2,1,0.03,0.03,NA,0.03,4.52287874528034,Cyclic,Polycyclic
Benzenethiol,108-98-5,C1=CC=C(C=C1)S,1,0.05,0.05,NA,0.05,4.30102999566398,Cyclic,BenzeneDerivatives
Phenyldithiobenzene,882-33-7,C1=CC=C(C=C1)SSC2=CC=CC=C2,1,0.005,0.005,NA,0.005,5.30102999566398,Cyclic,Polycyclic
Coumarin,91-64-5,C1=CC=C2C(=C1)C=CC(=O)O2,3,0.034,0.05,0.00923760430703401,0.044,4.35654732351381,Cyclic,Polycyclic
1-Hydroxynaphthalene,90-15-3,C1=CC=C2C(=C1)C=CC=C2O,1,4,4,NA,4,2.39794000867204,Cyclic,Polycyclic
Indole,120-72-9,C1=CC=C2C(=C1)C=CN2,10,0.011,0.36,0.55687549681407,0.074,4.13076828026902,Cyclic,Polycyclic
Dibenzofuran,132-64-9,C1=CC=C2C(=C1)C3=CC=CC=C3O2,5,0.0033,0.12,0.697951637371402,0.058,4.23657200643706,Cyclic,Polycyclic
2-Hydroxynaphthalene,135-19-3,C1=CC=C2C=C(C=CC2=C1)O,3,1.29,7,0.36725440183241,3,2.52287874528034,Cyclic,Polycyclic
Naphthalene,91-20-3,C1=CC=C2C=CC=CC2=C1,6,0.001,0.5,1.13621488788015,0.019,4.72124639904717,Cyclic,Polycyclic
Benzene,71-43-2,C1=CC=CC=C1,6,10,111,0.423306670396046,18.85,1.72468864545819,Cyclic,BenzeneDerivatives
Pyridine,110-86-1,C1=CC=NC=C1,8,19,79,0.257149391361546,56.3,1.24949160514865,Cyclic,Others
Pyridine,290-37-9,C1=CN=CC=N1,6,75,500,0.317968015336662,157,0.804100347590766,Cyclic,Pyrazine
2-Pyrrolecarbaldehyde,1003-29-8,C1=CNC(=C1)C=O,1,65,65,NA,65,1.18708664335714,Cyclic,Others
Pyrrole,109-97-7,C1=CNC=C1,4,10,49.6,0.28520710836247,21.1,1.67571754470231,Cyclic,Others
Furfural,98-01-1,C1=COC(=C1)C=O,10,2.5,23,0.338149855945963,3.57,2.44733178388781,Cyclic,Furan
2-Furylacetic acid,2745-26-8,C1=COC(=C1)CC(=O)O,1,34.6,34.6,NA,34.6,1.46092390120722,Cyclic,Furan
3-(2-Furyl)propanoic acid,935-13-7,C1=COC(=C1)CCC(=O)O,1,15.6,15.6,NA,15.6,1.80687540164554,Cyclic,Furan
2-Furanmethanol,98-00-0,C1=COC(=C1)CO,12,0.5005,4.5005,0.251440890581212,1.9,2.72124639904717,Cyclic,Furan
2-Furylmethanethiol,98-02-2,C1=COC(=C1)CS,17,1e-5,0.000125,0.412341460270625,5e-5,7.30102999566398,Cyclic,Furan
3-Hydroxy-2-pyrone,496-64-0,C1=COC(=O)C(=C1)O,1,22.5,22.5,NA,22.5,1.64781748188864,Cyclic,Others
Furan,110-00-9,C1=COC=C1,3,4.5,5.25,0.0386517470146158,4.987,2.30216063178164,Cyclic,Furan
2-Thienylacetic acid,1918-77-0,C1=CSC(=C1)CC(=O)O,1,22.6,22.6,NA,22.6,1.6458915608526,Cyclic,Others
3-(2-Thienyl)propanoic acid,5928-51-8,C1=CSC(=C1)CCC(=O)O,1,13.2,13.2,NA,13.2,1.87942606879415,Cyclic,Others
2-Thiophenemethanol,636-72-6,C1=CSC(=C1)CO,1,15,15,NA,15,1.82390874094432,Cyclic,Others
2-Thenylthiol,6258-63-5,C1=CSC(=C1)CS,2,4e-5,4e-5,NA,4e-5,7.39794000867204,Cyclic,Others
2-Thiophenethiol,7774-74-5,C1=CSC(=C1)S,2,0.0006,0.0008,0.0883450278886091,0.0007,6.15490195998574,Cyclic,Others
Thiazole,288-47-1,C1=CSC=N1,2,0.038,3.1,1.35168983531015,0.343,3.46470587995723,Cyclic,Thiazole
Chlorogenic acid,327-97-9,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O,1,82,82,NA,82,1.08618614761628,Cyclic,Polycyclic
3-Pyrroline,109-96-6,C1C=CCN1,1,62.8,62.8,NA,62.8,1.2020403562628,Cyclic,Others
"1,2,4,5,6,7,8,8-Octachloro-2,3,3a,4,7,7a-hexahydro-4,7-methanoindene",5103-71-9,C1C2C(C(C1Cl)Cl)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,1,0.0015,0.0015,NA,0.0015,5.82390874094432,Cyclic,Polycyclic
"1,2,3,4,10,10-Hexachloro-1,4,4a,5,8,8a-hexahydro-1,4-endo-exo-5,8-dimethanonaphthalene",309-00-2,C1C2C=CC1C3C2C4(C(=C(C3(C4(Cl)Cl)Cl)Cl)Cl)Cl,1,0.017,0.017,NA,0.017,4.76955107862173,Cyclic,Polycyclic
"1,2,3,4,10,10-Hexachloro-6,7-epoxy-1,4,4a,5,6,7,8,8a-octahydro-1,4-endo-endo-5,8-dimethanonaphthalene",72-20-8,C1C2C3C(C1C4C2O4)C5(C(=C(C3(C5(Cl)Cl)Cl)Cl)Cl)Cl,1,0.018,0.018,NA,0.018,4.74472749489669,Cyclic,Polycyclic
Cyclobutanone,1191-95-3,C1CC(=O)C1,1,2.8,2.8,NA,2.8,2.55284196865778,Cyclic,Ketone
4-Hydroxybutanoic acid lactone,96-48-0,C1CC(=O)OC1,2,25,25,NA,25,1.60205999132796,Cyclic,Ester
Cyclobutylamine,2516-34-9,C1CC(C1)N,1,32.5,32.5,NA,32.5,1.48811663902113,Cyclic,Others
Cyclobutanol,2919-23-5,C1CC(C1)O,1,7,7,NA,7,2.15490195998574,Cyclic,Alcohol
4-Phenyl-1-cyclohexene,4994-16-5,C1CC(CC=C1)C2=CC=CC=C2,1,0.01,0.01,NA,0.01,5,Cyclic,Polycyclic
3-Phenyl-1-cyclohexene,15232-96-9,C1CC=CC(C1)C2=CC=CC=C2,1,0.01,0.01,NA,0.01,5,Cyclic,Polycyclic
Cyclopropylamine,765-30-0,C1CC1N,1,38.9,38.9,NA,38.9,1.41005039867429,Cyclic,Others
Indan,496-11-7,C1CC2=CC=CC=C2C1,1,0.063,0.063,NA,0.063,4.20065945054642,Cyclic,Polycyclic
1-Phenyl-1-cyclohexene,771-98-2,C1CCC(=CC1)C2=CC=CC=C2,1,0.01,0.01,NA,0.01,5,Cyclic,Polycyclic
